City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Grandview,US,69.8,heavy intensity rain,38.89,-94.53,Holiday Inn Express & Suites Kansas City-Grandview
6,Cidreira,BR,72.01,scattered clouds,-30.17,-50.22,Hotel Castelo
7,Hilo,US,75.2,heavy intensity rain,19.71,-155.08,Pakalana Inn
8,Great Falls,US,63.0,clear sky,47.5,-111.29,Wingate by Wyndham Great Falls
14,Puerto Ayora,EC,78.8,few clouds,-0.74,-90.35,Hostal La Mirada De Solitario George
17,Kapaa,US,82.4,broken clouds,22.08,-159.32,Coral Reef Resort
19,Rock Sound,BS,84.43,overcast clouds,24.9,-76.2,Rock Sound Club
20,Faribault,US,71.01,light rain,44.3,-93.27,Galaxie Inn
23,Fazilka,IN,86.59,broken clouds,30.41,74.03,Mahant
27,Albany,US,77.0,clear sky,42.65,-73.75,Fairfield Inn & Suites Albany Downtown
28,Atuona,PF,79.03,light rain,-9.8,-139.03,Pearl Resort
37,Gazanjyk,TM,84.97,clear sky,39.24,55.52,Şemşadyñ mamasy
38,Avarua,CK,71.6,overcast clouds,-21.21,-159.78,Paradise Inn
43,Rikitea,PF,68.77,clear sky,-23.12,-134.97,Chez Bianca & Benoit
47,Chai Badan,TH,81.0,light rain,15.2,101.13,Narai Grand Hotel
50,Constitucion,MX,75.0,broken clouds,23.99,-104.67,Hotel Roma
52,Emba,CY,82.4,clear sky,34.81,32.42,Club St. George Resort 5*
53,Padang,ID,80.29,moderate rain,-0.92,100.36,TanaHotel
54,Rorvik,NO,71.6,clear sky,64.86,11.24,Kysthotellet Rørvik
56,Moerai,PF,73.99,light rain,-22.43,-151.33,Manotel Rurutu
57,Colares,PT,84.2,few clouds,38.8,-9.45,Hotel Arribas
62,Lompoc,US,82.0,mist,34.64,-120.46,Embassy Suites by Hilton Lompoc Central Coast
67,Tual,ID,77.05,light rain,-5.67,132.75,Suita
72,Umea,SE,68.0,clear sky,63.83,20.26,Hotell Dragonen
73,Arraial Do Cabo,BR,73.4,scattered clouds,-22.97,-42.02,Pousada Casa da Praia
74,Faanui,PF,77.95,light rain,-16.48,-151.75,Oa Oa Lodge
75,Sainte-Maxime,FR,89.01,clear sky,43.31,6.64,Les Tourelles
76,Tiassale,CI,74.53,light rain,5.9,-4.83,Duvick
