City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather description
0,Soyo,-6.1349,12.3689,80.53,72,86,7.87,AO,overcast clouds
1,Naze,28.3667,129.4833,51.26,72,99,23.67,JP,light rain
2,Taltal,-25.4,-70.4833,68.49,74,30,5.44,CL,scattered clouds
3,Zhigansk,66.7697,123.3711,-18.42,92,100,3.62,RU,overcast clouds
4,Rikitea,-23.1203,-134.9692,77.14,74,100,11.56,PF,overcast clouds
5,Rensvik,63.1,7.8167,32.27,80,75,9.22,NO,light snow
6,Deputatskiy,69.3,139.9,-23.66,88,4,5.01,RU,clear sky
7,Punta Arenas,-53.15,-70.9167,51.12,40,37,27.4,CL,scattered clouds
8,Port Alfred,-33.5906,26.891,69.19,84,100,5.01,ZA,moderate rain
9,Dikson,73.5069,80.5464,-1.3,87,100,28.05,RU,overcast clouds
10,Mar Del Plata,-38.0023,-57.5575,83.82,78,40,17.0,AR,scattered clouds
11,Atuona,-9.8,-139.0333,77.88,76,57,16.82,PF,broken clouds
12,Vao,-22.6667,167.4833,78.57,80,35,8.25,NC,scattered clouds
13,Ushuaia,-54.8,-68.3,46.02,77,92,21.68,AR,overcast clouds
14,Port Elizabeth,-33.918,25.5701,67.32,95,93,8.01,ZA,moderate rain
15,Narsaq,60.9167,-46.05,12.42,65,0,7.78,GL,clear sky
16,Fortuna,40.5982,-124.1573,57.92,88,100,12.66,US,overcast clouds
17,Khani,41.9563,42.9566,44.17,57,0,5.59,GE,clear sky
18,Hobart,-42.8794,147.3294,60.66,94,100,8.05,AU,overcast clouds
19,Nargana,9.4428,-78.5906,82.33,77,82,12.75,PA,broken clouds
20,Airai,-8.9266,125.4092,61.61,94,100,1.54,TL,overcast clouds
21,Victoria,22.2855,114.1577,63.25,46,14,5.01,HK,few clouds
22,Benxi,41.2886,123.765,8.92,90,100,6.82,CN,overcast clouds
23,Nikolskoye,59.7035,30.7861,33.8,99,100,6.04,RU,overcast clouds
24,Ayabaca,-4.6398,-79.7149,63.5,52,23,3.11,PE,few clouds
25,Pevek,69.7008,170.3133,-4.38,84,0,2.28,RU,clear sky
26,Busselton,-33.65,115.3333,59.92,76,70,12.28,AU,broken clouds
27,Saint-Pierre,-21.3393,55.4781,82.08,65,0,4.61,RE,clear sky
28,Albany,42.6001,-73.9662,52.59,90,99,1.99,US,moderate rain
29,Carmen,18.6333,-91.8333,75.88,78,1,6.78,MX,clear sky
30,Arteaga,18.4667,-102.4167,67.21,54,29,1.25,MX,scattered clouds
31,Avarua,-21.2078,-159.775,73.45,88,40,1.14,CK,scattered clouds
32,Hami,42.8,93.45,24.1,41,96,4.36,CN,overcast clouds
33,Tuktoyaktuk,69.4541,-133.0374,-20.13,100,99,9.08,CA,overcast clouds
34,Nyurba,63.2842,118.3319,-30.5,100,43,0.43,RU,scattered clouds
35,Clyde River,70.4692,-68.5914,-16.56,92,100,3.58,CA,overcast clouds
36,Fryanovo,56.1333,38.45,33.13,99,100,10.51,RU,light snow
37,Lompoc,34.6391,-120.4579,50.72,97,100,4.61,US,mist
38,Chapais,49.7834,-74.8492,20.98,91,100,24.54,CA,snow
39,Cabo San Lucas,22.8909,-109.9124,68.5,73,0,9.22,MX,clear sky
40,Vardo,70.3705,31.1107,28.38,93,75,13.8,NO,light snow
41,Ust-Ordynskiy,52.805,104.7508,11.07,96,100,3.22,RU,light snow
42,Mahebourg,-20.4081,57.7,79.25,68,97,10.25,MU,overcast clouds
43,Torbay,47.6666,-52.7314,31.57,79,99,7.0,CA,overcast clouds
44,Yeppoon,-23.1333,150.7333,71.38,71,100,7.78,AU,overcast clouds
45,Bredasdorp,-34.5322,20.0403,73.89,53,100,22.12,ZA,overcast clouds
46,Hermanus,-34.4187,19.2345,69.8,74,100,19.75,ZA,overcast clouds
47,Ribeira Grande,38.5167,-28.7,63.0,51,20,21.85,PT,few clouds
48,Kapaa,22.0752,-159.319,73.72,78,0,11.5,US,clear sky
49,Castro,-24.7911,-50.0119,71.15,58,24,6.69,BR,few clouds
50,Cape Town,-33.9258,18.4232,74.37,71,100,8.01,ZA,overcast clouds
51,Puerto Ayora,-0.7393,-90.3518,78.76,94,91,3.0,EC,overcast clouds
52,Lagos,6.5833,3.75,91.53,24,69,7.52,NG,broken clouds
53,Roald,62.5833,6.1333,37.76,80,40,10.36,NO,light snow
54,Saskylakh,71.9167,114.0833,-19.08,96,97,3.69,RU,overcast clouds
55,Mataura,-46.1927,168.8643,51.4,100,100,1.77,NZ,overcast clouds
56,Constitucion,-35.3333,-72.4167,65.16,48,0,18.43,CL,clear sky
57,Inhambane,-23.865,35.3833,82.38,47,20,11.5,MZ,few clouds
58,Vaini,-21.2,-175.2,75.36,100,20,6.91,TO,moderate rain
59,Madang,-5.2246,145.7966,78.49,89,94,1.92,PG,overcast clouds
60,Barrow,71.2906,-156.7887,6.82,78,100,5.75,US,overcast clouds
61,Goderich,43.7501,-81.7165,29.91,94,100,34.85,CA,snow
62,Ostrov,57.3439,28.3537,35.33,100,100,8.16,RU,overcast clouds
63,Guerrero Negro,27.9769,-114.0611,56.95,82,98,3.98,MX,overcast clouds
64,Lafiagi,8.8667,5.4167,93.02,15,53,3.62,NG,broken clouds
65,New Norfolk,-42.7826,147.0587,60.3,88,100,3.18,AU,overcast clouds
66,Neiafu,-18.65,-173.9833,77.68,83,75,2.3,TO,broken clouds
67,Cedar City,37.6775,-113.0619,25.77,80,100,3.44,US,overcast clouds
68,Sao Filipe,14.8961,-24.4956,78.62,54,0,11.63,CV,clear sky
69,Crateus,-5.1783,-40.6775,77.67,69,100,5.95,BR,light rain
70,Ketchikan,55.3422,-131.6461,19.62,94,100,6.93,US,snow
71,Tsuruoka,38.7217,139.8217,38.3,74,96,21.85,JP,light rain
72,Talcahuano,-36.7167,-73.1167,65.88,45,0,17.27,CL,clear sky
73,Bousso,10.4795,16.7117,85.66,15,5,8.48,TD,clear sky
74,Severo-Kurilsk,50.6789,156.125,32.85,98,100,31.32,RU,snow
75,Provideniya,64.3833,-173.3,15.71,79,3,24.25,RU,clear sky
76,Ivangorod,59.3716,28.2162,34.32,98,100,8.48,RU,overcast clouds
77,Alofi,-19.0595,-169.9187,75.09,94,75,6.91,NU,broken clouds
78,Mezen,65.8522,44.24,18.68,96,91,4.29,RU,overcast clouds
79,Lata,40.1629,-8.3327,65.07,75,95,7.94,PT,overcast clouds
80,Isangel,-19.55,169.2667,78.98,82,91,7.52,VU,overcast clouds
81,Yulara,-25.2406,130.9889,72.93,67,17,7.67,AU,few clouds
82,Totoro,2.512,-76.4012,63.54,58,29,2.13,CO,scattered clouds
83,Butaritari,3.0707,172.7902,80.91,78,100,21.88,KI,light rain
84,Hithadhoo,-0.6,73.0833,82.02,71,94,18.03,MV,overcast clouds
85,East London,-33.0153,27.9116,71.73,90,90,3.0,ZA,moderate rain
86,Tasiilaq,65.6145,-37.6368,10.56,64,0,3.98,GL,clear sky
87,Jamestown,42.097,-79.2353,15.39,69,100,35.68,US,fog
88,Kristiinankaupunki,62.2743,21.376,28.11,81,58,7.78,FI,broken clouds
89,Mount Gambier,-37.8333,140.7667,52.3,86,100,3.94,AU,overcast clouds
90,Bluff,-46.6,168.3333,53.87,81,100,2.8,NZ,overcast clouds
91,Tinde,-3.8833,33.2,68.97,84,100,1.23,TZ,overcast clouds
92,Laguna,38.421,-121.4238,44.94,93,75,0.0,US,mist
93,Tiksi,71.6872,128.8694,-14.44,97,58,1.3,RU,broken clouds
94,Ponta Do Sol,32.6667,-17.1,70.72,84,7,5.28,PT,clear sky
95,Longyearbyen,78.2186,15.6401,10.24,61,75,8.05,SJ,broken clouds
96,Togur,58.3631,82.8265,-0.67,84,100,14.88,RU,overcast clouds
97,La Ronge,55.1001,-105.2842,-27.29,100,55,3.18,CA,broken clouds
98,Pisco,-13.7,-76.2167,71.02,83,20,8.05,PE,mist
99,Ancud,-41.8697,-73.8203,57.51,46,32,6.38,CL,scattered clouds
